sample_id,r1,r2
Ch_BHYSZ,1913499254,1913466867
Ch_DBZ,2180430318,2180352752
Ch_DHP,2255815919,2255757027
Ch_HBRZ,2311692374,2311646071
Ch_HBS,2277341771,2277316884
Ch_HHYSZ,2209684688,2209648955
Ch_JPT,2046006899,2045999644
Ch_MNZ,2123258212,2123242944
Ch_SB,2339721458,2339721544
Ch_SXDZ,2040678191,2040652265
Ch_TK,2023974663,2023953661
Ch_TLZ,2046516721,2046522625
Ch_TP,2045391485,2045394442
Ch_TSH,1953862576,1953867543
Ch_TSSB,2038933197,2038931008
Ch_YCDHPT,2240730206,2240715481
Ch_YCDMYT,2479169462,2479050840
Ch_YCDQPT,2432139700,2432110770
Ch_YCL,2027667392,2027661100
Ch_YLD,2201171501,2201161367
Ch_YSL01,2087644407,2087640643
Ch_YSL02,2201121191,2201123885
Gd,9639533578,9639533578
Gl_AFG,1915160462,1915151616
Gl_AGA,2451386949,2451342241
Gl_AMB,1883844725,1883809297
Gl_ANG,2426431935,2426412994
Gl_ARA,1891427172,1891401521
Gl_AZA,2348761392,2348712706
Gl_BAL,2121767174,2121747963
Gl_BHA,2267372582,2267384370
Gl_DES,2435016292,2434951224
Gl_DWA,2295227291,2295166281
Gl_EVE,2059154010,2059171422
Gl_GLG,2384672681,2384644633
Gl_GOL,2092275148,2092286944
Gl_GRE,2075187559,2075213396
Gl_KAI,2364804701,2364695074
Gl_KAJ,2404099081,2404044835
Gl_KAS,1893217960,1893197226
Gl_MED,2283003485,2283000403
Gl_MOL,1892816091,1892738169
Gl_PAL,2382295053,2382275469
Gl_PAR,1947577939,1947591622
Gl_PLA,2002809223,2002792409
Gl_PST,2006400282,2006379440
Gl_PUR,2230963525,2230908299
Gl_RAN,2143557019,2143552635
Gl_RUS,2130357636,2130334679
Gl_SHA,2427689070,2427648475
Gl_SOG,2411087641,2411069986
Gl_SUM,2014209919,2014211411
Gl_SUR,2070341125,2070251938
Gl_TUN,2292826956,2292821842
Gl_UTA,2316931695,2316937181
Gl_VKU,2273082466,2273031423
Gl_WON,1882279255,1882277369
Nana,6338995097,6338367292
PT,7463078667,7463078667
Ti_AB01,2339163320,2339092824
Ti_AB02,2468567802,2468502457
Ti_AB03,2543501794,2543378382
Ti_CX01,2364975172,2365010321
Ti_CX02,2613902763,2613867409
Ti_CX03,2281074433,2281093635
Ti_DX01,2407873592,2407779385
Ti_GB01,1951198943,1951219943
Ti_GB02,1995860568,1995845229
Ti_GB03,2141577519,2141562128
Ti_GB04,2150315760,2150336345
Ti_GL01,2079878772,2079715543
Ti_JY01,2308809186,2308795879
Ti_JY02,2139671788,2139684003
Ti_JY03,2167700903,2167704536
Ti_JY04,2116367716,2116348763
Ti_JY05,2285134065,2285130585
Ti_JY06,1921269669,1921233301
Ti_JY07,2324946375,2324975121
Ti_JY08,2167229029,2167217108
Ti_JY09,2487971858,2488012286
Ti_JY10,2182867033,2182878675
Ti_JY11,2175024270,2175005010
Ti_JY12,2001690027,2001704036
Ti_JY13,2071163428,2071164501
Ti_JY14,2067325040,2067259464
Ti_JY15,1954681512,1954663289
Ti_YB01,2116664915,2116634949
Ti_YB02,2286110150,2286092517
Ti_YB03,2281534874,2281546482
Ti_ZE01,2184271082,2184250077
Ti_ZE02,2034861079,2034852813
Ti_ZE03,2121443729,2121412758
Ti_ZL01,2226065624,2226076887
Ti_ZL02,2591915904,2591911818
Ti_ZL03,2475844222,2475835576
YT,5002582829,5002582829
